You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4448.021, avg: -19.595
[epoch][s/s_per_e/gs]: [0][176/3029/176], lr: 0.000099905864, loss: 2.754843473434
[epoch][s/s_per_e/gs]: [0][177/3029/177], lr: 0.000099905330, loss: 2.321775197983
[epoch][s/s_per_e/gs]: [0][178/3029/178], lr: 0.000099904795, loss: 1.927453875542
[epoch][s/s_per_e/gs]: [0][179/3029/179], lr: 0.000099904260, loss: 2.514460086823
[epoch][s/s_per_e/gs]: [0][180/3029/180], lr: 0.000099903725, loss: 2.576541900635
[epoch][s/s_per_e/gs]: [0][181/3029/181], lr: 0.000099903190, loss: 2.264064550400
[epoch][s/s_per_e/gs]: [0][182/3029/182], lr: 0.000099902655, loss: 2.900470495224
[epoch][s/s_per_e/gs]: [0][183/3029/183], lr: 0.000099902120, loss: 2.384863138199
[epoch][s/s_per_e/gs]: [0][184/3029/184], lr: 0.000099901585, loss: 2.403446197510
[epoch][s/s_per_e/gs]: [0][185/3029/185], lr: 0.000099901050, loss: 2.851542234421
[epoch][s/s_per_e/gs]: [0][186/3029/186], lr: 0.000099900516, loss: 2.362097978592
[epoch][s/s_per_e/gs]: [0][187/3029/187], lr: 0.000099899981, loss: 2.420643329620
[epoch][s/s_per_e/gs]: [0][188/3029/188], lr: 0.000099899446, loss: 2.370830774307
[epoch][s/s_per_e/gs]: [0][189/3029/189], lr: 0.000099898911, loss: 2.313076019287
[epoch][s/s_per_e/gs]: [0][190/3029/190], lr: 0.000099898376, loss: 3.025388479233
[epoch][s/s_per_e/gs]: [0][191/3029/191], lr: 0.000099897841, loss: 1.992956399918
[epoch][s/s_per_e/gs]: [0][192/3029/192], lr: 0.000099897306, loss: 1.938346743584
[epoch][s/s_per_e/gs]: [0][193/3029/193], lr: 0.000099896771, loss: 2.678726673126
[epoch][s/s_per_e/gs]: [0][194/3029/194], lr: 0.000099896236, loss: 2.503063917160
